CDH1,Microarray,EMT,Cadherin 1,Chr16:68737292-68835536,"GO:0035635 entry of bacterium into host cell
GO:0099576 regulation of protein catabolic process at postsynapse, modulating synaptic transmission
GO:0071681 cellular response to indole-3-methanol","(M5896)HALLMARK TGF BETA SIGNALING
 (M5915)HALLMARK APICAL JUNCTION
 (M5907)HALLMARK ESTROGEN RESPONSE LATE",,,,,Alsuliman et al.2015,
CLDN3,Microarray,EMT,Claudin 3,Chr7:73768997-73770270,"GO:0016338 calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules
GO:0070830 bicellular tight junction assembly
GO:0120192 tight junction assembly",(M5937)HALLMARK GLYCOLYSIS,,,,,,
CLDN4,Microarray,EMT,Claudin 4,Chr7:73830863-73832693,"GO:0061436 establishment of skin barrier
GO:0016338 calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules
GO:0033561 regulation of water loss via skin",(M5915)HALLMARK APICAL JUNCTION,,,,,,
CLDN7,Microarray,EMT,Claudin 7,Chr17:7259903-7262478,"GO:0016338 calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules
GO:0098742 cell-cell adhesion via plasma-membrane adhesion molecules
GO:0098609 cell-cell adhesion","(M5915)HALLMARK APICAL JUNCTION
 (M5906)HALLMARK ESTROGEN RESPONSE EARLY",,,,,,
DSP,Microarray,EMT,Desmoplakin,Chr6:7541671-7586714,"GO:0086073 bundle of His cell-Purkinje myocyte adhesion involved in cell communication
GO:0098911 regulation of ventricular cardiac muscle cell action potential
GO:0003223 ventricular compact myocardium morphogenesis",NA,,,,,,
FN1,Microarray,EMT,Fibronectin 1,Chr2:215360440-215436068,"GO:2001202 negative regulation of transforming growth factor-beta secretion
GO:1904237 positive regulation of substrate-dependent cell migration, cell attachment to substrate
GO:2001201 regulation of transforming growth factor-beta secretion","(M5946)HALLMARK COAGULATION
 (M5921)HALLMARK COMPLEMENT
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
FOXC2,Microarray,EMT,Forkhead box C2,Chr16:86566829-86569727,"GO:1902257 negative regulation of apoptotic process involved in outflow tract morphogenesis
GO:0072144 glomerular mesangial cell development
GO:0035470 positive regulation of vascular wound healing",(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,,,,,,
MMP2,Microarray,EMT,Matrix metallopeptidase 2,Chr16:55480533-55506691,"GO:0001955 blood vessel maturation
GO:0001957 intramembranous ossification
GO:0060346 bone trabecula formation","(M5946)HALLMARK COAGULATION
 (M5902)HALLMARK APOPTOSIS
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
MMP3,Microarray,EMT,Matrix metallopeptidase 3,Chr11:102835801-102843609,"GO:0010727 negative regulation of hydrogen peroxide metabolic process
GO:1903209 positive regulation of oxidative stress-induced cell death
GO:0071732 cellular response to nitric oxide","(M5946)HALLMARK COAGULATION
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
SNAI1,Microarray,EMT,Snail family transcriptional repressor 1,Chr20:49982980-49988883,"GO:0060806 negative regulation of cell differentiation involved in embryonic placenta development
GO:0010957 negative regulation of vitamin D biosynthetic process
GO:0060800 regulation of cell differentiation involved in embryonic placenta development",NA,,,,,,
SNAI2,Microarray,EMT,Snail family transcriptional repressor 2,Chr8:48917598-48921429,"GO:0070563 negative regulation of vitamin D receptor signaling pathway
GO:0070562 regulation of vitamin D receptor signaling pathway
GO:0010957 negative regulation of vitamin D biosynthetic process","(M5942)HALLMARK UV RESPONSE DN
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
SOX10,Microarray,EMT,SRY-box transcription factor 10,Chr22:37972312-37984532,"GO:0010626 negative regulation of Schwann cell proliferation
GO:0010624 regulation of Schwann cell proliferation
GO:0071393 cellular response to progesterone stimulus",(M5956)HALLMARK KRAS SIGNALING DN,,,,,,
TWIST1,Microarray,EMT,Twist family bHLH transcription factor 1,Chr7:19115468-19117636,"GO:2000802 positive regulation of endocardial cushion to mesenchymal transition involved in heart valve formation
GO:0140051 positive regulation of endocardial cushion to mesenchymal transition
GO:2000800 regulation of endocardial cushion to mesenchymal transition involved in heart valve formation",NA,,,,,,
TWIST2,Microarray,EMT,Twist family bHLH transcription factor 2,Chr2:238848085-238887257,"GO:0045668 negative regulation of osteoblast differentiation
GO:0030279 negative regulation of ossification
GO:0045667 regulation of osteoblast differentiation",NA,,,,,,
VIM,Microarray,EMT,Vimentin,Chr10:17228241-17237593,"GO:0070307 lens fiber cell development
GO:0060020 Bergmann glial cell differentiation
GO:0071225 cellular response to muramyl dipeptide",(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,,,,,,
ZEB1,Microarray,EMT,Zinc finger E-box binding homeobox 1,Chr10:31319216-31529804,"GO:0033081 regulation of T cell differentiation in thymus
GO:0045602 negative regulation of endothelial cell differentiation
GO:0048752 semicircular canal morphogenesis",(M5921)HALLMARK COMPLEMENT,,,,,,
ZEB2,Microarray,EMT,Zinc finger E-box binding homeobox 2,Chr2:144384081-144520119,"GO:1902748 positive regulation of lens fiber cell differentiation
GO:0021540 corpus callosum morphogenesis
GO:0021957 corticospinal tract morphogenesis",NA,,,,,,
AHNAK,qPCR,EMT,AHNAK nucleoprotein,Chr11:62515902-62546806,"GO:1901385 regulation of voltage-gated calcium channel activity
GO:1901019 regulation of calcium ion transmembrane transporter activity
GO:1903169 regulation of calcium ion transmembrane transport",(M5947)HALLMARK IL2 STAT5 SIGNALING,,,,,,
AKT1,qPCR,EMT,AKT serine/threonine kinase 1,Chr14:104769350-104793601,"GO:0010748 negative regulation of plasma membrane long-chain fatty acid transport
GO:0010746 regulation of plasma membrane long-chain fatty acid transport
GO:0100002 negative regulation of protein kinase activity by protein phosphorylation","(M5908)HALLMARK ANDROGEN RESPONSE
 (M5923)HALLMARK PI3K AKT MTOR SIGNALING
 (M5950)HALLMARK ALLOGRAFT REJECTION",,,,,,
BMP1,qPCR,EMT,Bone morphogenetic protein 1,Chr8:22165372-22201482,"GO:0034380 high-density lipoprotein particle assembly
GO:0034377 plasma lipoprotein particle assembly
GO:0061036 positive regulation of cartilage development","(M5946)HALLMARK COAGULATION
 (M5915)HALLMARK APICAL JUNCTION
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
COL1A2,qPCR,EMT,Collagen type I alpha 2 chain,Chr7:94394561-94431232,"GO:0070208 protein heterotrimerization
GO:0043589 skin morphogenesis
GO:0085029 extracellular matrix assembly","(M5942)HALLMARK UV RESPONSE DN
 (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION",,,,,,
EGFR,qPCR,EMT,Epidermal growth factor receptor,Chr7:55019017-55203076,"GO:0043006 activation of phospholipase A2 activity by calcium-mediated signaling
GO:0032431 activation of phospholipase A2 activity
GO:1902722 positive regulation of prolactin secretion","(M5910)HALLMARK PROTEIN SECRETION
 (M5923)HALLMARK PI3K AKT MTOR SIGNALING
 (M5915)HALLMARK APICAL JUNCTION",,,,,,
FOXC2,qPCR,EMT,Forkhead box C2,Chr16:86566829-86569727,"GO:1902257 negative regulation of apoptotic process involved in outflow tract morphogenesis
GO:0072144 glomerular mesangial cell development
GO:0035470 positive regulation of vascular wound healing",(M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,,,,,,
FZD7,qPCR,EMT,Frizzled class receptor 7,Chr2:202034587-202038437,"GO:0042666 negative regulation of ectodermal cell fate specification
GO:0042665 regulation of ectodermal cell fate specification
GO:0001715 ectodermal cell fate specification",(M5903)HALLMARK NOTCH SIGNALING,,,,,,
ILK,qPCR,EMT,Integrin linked kinase,Chr11:6603708-6610874,"GO:0001658 branching involved in ureteric bud morphogenesis
GO:0060675 ureteric bud morphogenesis
GO:0045773 positive regulation of axon extension",NA,,,,,,
