#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALDH1A1	BRCA1	9606.ENSP00000297785	9606.ENSP00000418960	0	0	0	0	0	0	0	0.459	0.459
ATAD2	CDC6	9606.ENSP00000287394	9606.ENSP00000209728	0	0	0	0	0.476	0.078	0	0.226	0.594
ATAD2	MYBL2	9606.ENSP00000287394	9606.ENSP00000217026	0	0	0	0	0.232	0	0	0.301	0.440
ATAD2	NDC80	9606.ENSP00000287394	9606.ENSP00000261597	0	0	0	0	0.667	0	0	0.108	0.690
ATAD2	CENPU	9606.ENSP00000287394	9606.ENSP00000281453	0	0	0	0	0.568	0	0	0.186	0.634
ATAD2	AURKB	9606.ENSP00000287394	9606.ENSP00000313950	0	0	0	0	0.360	0	0	0.160	0.439
ATAD2	KIFC1	9606.ENSP00000287394	9606.ENSP00000393963	0	0	0	0	0.212	0.071	0	0.295	0.439
ATAD2	TYMS	9606.ENSP00000287394	9606.ENSP00000315644	0.043	0	0	0	0.343	0	0	0.188	0.445
ATAD2	CKAP2	9606.ENSP00000287394	9606.ENSP00000367276	0	0	0	0	0.453	0	0	0.070	0.470
ATAD2	CHAF1B	9606.ENSP00000287394	9606.ENSP00000315700	0	0	0	0	0.231	0.056	0	0.376	0.508
ATAD2	E2F2	9606.ENSP00000287394	9606.ENSP00000355249	0	0	0	0	0.154	0.282	0	0.324	0.554
ATAD2	PCNA	9606.ENSP00000287394	9606.ENSP00000368458	0.069	0	0	0	0.534	0	0	0.100	0.576
ATAD2	FEN1	9606.ENSP00000287394	9606.ENSP00000305480	0	0	0	0	0.570	0.062	0	0.141	0.623
ATAD2	MKI67	9606.ENSP00000287394	9606.ENSP00000357643	0	0	0	0	0.548	0	0	0.210	0.627
ATAD2	KIF4A	9606.ENSP00000287394	9606.ENSP00000363524	0	0	0	0	0.592	0.071	0	0.194	0.668
ATAD2	KIF20A	9606.ENSP00000287394	9606.ENSP00000378356	0	0	0	0	0.592	0.071	0	0.195	0.669
ATAD2	DSCC1	9606.ENSP00000287394	9606.ENSP00000322180	0	0	0	0	0.567	0	0	0.338	0.701
